rank,model_id,model_name,variant,quantization,runtime,hardware_id,workload,estimated_memory_gb,weight_memory_gb,context_tokens,context_target_tokens,tokens_per_second,performance_class,quality_score,jgb_level,jgb_confidence,fit_score,confidence,cpu_price_eur,cpu_price_source,ram_price_eur,ram_price_source,gpu_price_eur,gpu_price_source,hardware_price_eur,price_coverage,value_score,reason,cabe,cabe_status,rula,rula_status,jgb_status,performance_score,economic_score,uncertainty,parameters_total_b,parameters_active_b,kv_cache_gb,runtime_overhead_gb,memory_margin_gb,runtime_version,backend,context_length,evidence_state,evidence_type,source_url,last_verified_at
11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt8,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt9,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt10,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
14,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt11,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
15,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt12,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
16,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt13,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
17,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt17,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt17,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
18,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt14,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt14,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
19,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt15,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.1536anc.codemultilang.v3-v7-ckpt15,,,transformers,,,,2.29,,,,UNKNOWN,,,,0.2141,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.048612,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
20,mangocloud/gr00t-n1.7-libero-90-k4-llm-20k,mangocloud/gr00t-n1.7-libero-90-k4-llm-20k,,,transformers,,,,3.16,,,,UNKNOWN,,,,0.1815,low,440.48,Amazon España;MediaMarkt España;PcComponentes,,,,,440.48,1/3,0.041205,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; performance class=UNKNOWN; JGB=unknown; hardware price coverage=1/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
